config_id,model,prompt,preproc,runs,mean_cer,usable_rate,wer,omission_rate,halluc_rate,stability_pairwise_cer,hard_flag_ok,hard_halluc,hard_total,wall_s
it6_hdd_words,sivan22/hdd-words-ocr@e089ce717594,n/a (dedicated HTR; greedy decode),gray+projection-line+word-segmentation,2,0.9627,0.0,1.1882,0.5647,0.3019,0.0,0,10,10,127.0
it7_surya,surya-ocr ? (surya-0.17 FoundationPredictor+RecognitionPredictor(det_predictor)),n/a (document OCR),none (whole cell; surya does detection),2,0.9551,0.0,1.1294,0.2118,0.1519,0.0,0,10,10,825.1
